timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
7/24/17 12:21,Apple,L4,Software Engineer,50000,"London, EN, United Kingdom",2,2,NA,0,0,0,NA,NA,12008,0,30,0,0,0,0,0,0,0,0,0,0,NA,NA
7/24/17 23:14,Microsoft,64,Software Engineer,195000,"Redmond, WA",9,9,NA,0,0,0,NA,NA,11521,819,31,0,0,0,0,0,0,0,0,0,0,NA,NA
7/25/17 14:44,Oath,IC4,Software Engineer,155000,"Sunnyvale, CA",8,7,NA,125000,30000,15000,NA,NA,7472,807,33,0,0,0,0,0,0,0,0,0,0,NA,NA
7/29/17 19:56,Microsoft,67,Software Engineering Manager,462000,"Bellevue, WA",15,15,NA,240000,150000,72000,NA,NA,11470,819,37,0,0,0,0,0,0,0,0,0,0,NA,NA
7/31/17 15:54,Amazon,L6,Software Engineer,300000,"Seattle, WA",12,12,NA,158000,142000,0,NA,NA,11527,819,38,0,0,0,0,0,0,0,0,0,0,NA,NA
7/31/17 15:55,Amazon,L7,Software Engineer,430000,"Seattle, WA",12,12,NA,220000,210000,0,NA,NA,11527,819,39,0,0,0,0,0,0,0,0,0,0,NA,NA
8/1/17 13:46,Microsoft,64,Software Engineering Manager,220000,"Seattle, WA",17,6,NA,0,0,0,NA,NA,11527,819,41,0,0,0,0,0,0,0,0,0,0,NA,NA
8/4/17 11:04,Microsoft,65,Product Manager,250000,"Redmond, WA",14,1,NA,180000,25000,30000,NA,NA,11521,819,43,0,0,0,0,0,0,0,0,0,0,NA,NA
8/6/17 22:23,Apple,Ict3,Software Engineer,200000,"Cupertino, CA",3,2,NA,140000,40000,20000,NA,NA,7158,807,45,0,0,0,0,0,0,0,0,0,0,NA,NA
8/6/17 22:26,Microsoft,63,Product Manager,190000,"Seattle, WA",6,6,NA,150000,30000,17000,NA,NA,11527,819,46,0,0,0,0,0,0,0,0,0,0,NA,NA
8/7/17 2:08,Google,L4,Software Engineer,300000,"Mountain View, CA",8,4,NA,155000,112000,33000,NA,NA,7322,807,48,0,0,0,0,0,0,0,0,0,0,NA,NA
